103	7945861	/mnt/comenzi/2018/04.Aprilie/04.04.2018/Kussay Ahmed Subhi ANTAKJY/Kussay_ANTAKJY_teza_edit for both sides.pdf
105	84845	/mnt/comenzi/2018/04.Aprilie/04.04.2018/Kussay Ahmed Subhi ANTAKJY/University.pdf
175	84522077	/mnt/comenzi/2018/06.Iunie/08.06.2018/Bianca Constantin/Gramatica/grammatik-aktiv-cornelsen.pdf
176	100273007	/mnt/comenzi/2018/06.Iunie/08.06.2018/Bianca Constantin/Gramatica/Langenscheidt Grammatik Intensivtrainer A1.pdf
177	60928589	/mnt/comenzi/2018/06.Iunie/08.06.2018/Bianca Constantin/Gramatica/Langenscheidt Grammatik Intensivtrainer A2.pdf
178	27965510	/mnt/comenzi/2018/06.Iunie/08.06.2018/Bianca Constantin/Gramatica/Langenscheidt Grammatik Intensivtrainer B1.pdf
179	40061770	/mnt/comenzi/2018/06.Iunie/08.06.2018/Bianca Constantin/Gramatica/Schritte international 5+6. Intensivtrainer - Deutsch als Fremdsprache (2009, Hueber).pdf
180	151792624	/mnt/comenzi/2018/06.Iunie/08.06.2018/Bianca Constantin/Gramatica/Ugr_Oberst_B2-C2.pdf
181	18556953	/mnt/comenzi/2018/06.Iunie/08.06.2018/Bianca Constantin/Gramatica/Ugr_Oberst_B2-C2_Loes.pdf
183	39392470	/mnt/comenzi/2018/06.Iunie/08.06.2018/Bianca Constantin/Mittelpunkt B2/Mittelpunkt B2 Arbeitsbuch Lektionen 7-12.pdf
184	36584779	/mnt/comenzi/2018/06.Iunie/08.06.2018/Bianca Constantin/Mittelpunkt B2/Mittelpunkt B2 Intensivtrainer Lese- und Hoerverstehen.pdf
185	62669913	/mnt/comenzi/2018/06.Iunie/08.06.2018/Bianca Constantin/Mittelpunkt B2/Mittelpunkt B2 Lehr- und Arbeitsbuch Lektionen 1-6.pdf
186	36879293	/mnt/comenzi/2018/06.Iunie/08.06.2018/Bianca Constantin/Mittelpunkt B2/Mittelpunkt B2 Lehrbuch Lektionen 7-12.pdf
187	55000981	/mnt/comenzi/2018/06.Iunie/08.06.2018/Bianca Constantin/Mittelpunkt B2/Mittelpunkt B2 Lehrerhandbuch.pdf
188	41840307	/mnt/comenzi/2018/06.Iunie/08.06.2018/Bianca Constantin/Mittelpunkt B2/Mittelpunkt B2-C1 Intensivtrainer schriftlicher und muendlicher Ausdruck.pdf
189	9000355	/mnt/comenzi/2018/06.Iunie/08.06.2018/Bianca Constantin/Mittelpunkt B2/Mittelpunkt B2-C1 Redemittelsammlung.pdf
